# Mass_keV gagg_GeV-1
2.194000e+00 1.600056e-17
2.206000e+00 1.424345e-17
2.218000e+00 1.418623e-17
2.242000e+00 1.185046e-17
2.266000e+00 9.664783e-18
2.292000e+00 8.492575e-18
2.316000e+00 7.278892e-18
2.340000e+00 1.398098e-17
2.364000e+00 1.739974e-17
2.388000e+00 1.756871e-17
2.412000e+00 1.703664e-17
2.436000e+00 1.304599e-17
2.460000e+00 9.772978e-18
2.486000e+00 5.053756e-18
2.510000e+00 5.007515e-18
2.534000e+00 4.281797e-18
2.558000e+00 4.692734e-18
2.582000e+00 4.431002e-18
2.606000e+00 6.744342e-18
2.630000e+00 1.076313e-17
2.654000e+00 1.296192e-17
2.680000e+00 1.370757e-17
2.704000e+00 1.355018e-17
2.728000e+00 1.276336e-17
2.752000e+00 1.116627e-17
2.776000e+00 7.959138e-18
2.800000e+00 6.848601e-18
2.824000e+00 5.837011e-18
2.848000e+00 4.693966e-18
2.872000e+00 5.078912e-18
2.896000e+00 6.766104e-18
2.922000e+00 5.733589e-18
2.946000e+00 9.398033e-18
2.958000e+00 8.589909e-18
2.970000e+00 1.169240e-17
2.982000e+00 1.050646e-17
2.994000e+00 1.151590e-17
3.018000e+00 1.063376e-17
3.042000e+00 9.742041e-18
3.066000e+00 6.663967e-18
3.090000e+00 5.288620e-18
3.116000e+00 4.826896e-18
3.140000e+00 4.573695e-18
3.164000e+00 5.890696e-18
3.188000e+00 4.178844e-18
3.236000e+00 5.326724e-18
3.284000e+00 6.377451e-18
3.334000e+00 5.121926e-18
3.382000e+00 4.263330e-18
3.430000e+00 3.441364e-18
3.454000e+00 3.422795e-18
3.504000e+00 4.061051e-18
3.528000e+00 4.701441e-18
3.552000e+00 5.013076e-18
3.600000e+00 5.802446e-18
3.648000e+00 6.388703e-18
3.696000e+00 7.901783e-18
3.722000e+00 8.937370e-18
3.746000e+00 8.861075e-18
3.794000e+00 8.338312e-18
3.842000e+00 8.494392e-18
3.890000e+00 8.426515e-18
3.916000e+00 7.959547e-18
3.940000e+00 7.524335e-18
3.988000e+00 6.440511e-18
4.000000e+00 5.806775e-18
4.036000e+00 5.244505e-18
4.084000e+00 4.752405e-18
4.134000e+00 5.223862e-18
4.182000e+00 6.627716e-18
4.206000e+00 5.083940e-18
4.230000e+00 5.103425e-18
4.278000e+00 3.571156e-18
4.304000e+00 3.524169e-18
4.328000e+00 2.719090e-18
4.352000e+00 2.401815e-18
4.400000e+00 2.341452e-18
4.420000e+00 2.530451e-18
4.450000e+00 2.926333e-18
4.480000e+00 3.145024e-18
4.510000e+00 3.751584e-18
4.540000e+00 4.511582e-18
4.570000e+00 2.032228e-18
4.600000e+00 2.070787e-18
4.630000e+00 2.346967e-18
4.660000e+00 2.510611e-18
4.690000e+00 2.950534e-18
4.720000e+00 3.235279e-18
4.750000e+00 3.755910e-18
4.780000e+00 4.596398e-18
4.810000e+00 4.911728e-18
4.840000e+00 6.943942e-18
4.870000e+00 7.670842e-18
4.900000e+00 8.493853e-18
4.930000e+00 8.936378e-18
4.960000e+00 8.833220e-18
4.990000e+00 8.653828e-18
5.020000e+00 8.558549e-18
5.050000e+00 7.938681e-18
5.080000e+00 7.967925e-18
5.110000e+00 6.890303e-18
5.140000e+00 5.708658e-18
5.170000e+00 5.320129e-18
5.200000e+00 4.476893e-18
5.230000e+00 4.553293e-18
5.260000e+00 4.272068e-18
5.290000e+00 4.160456e-18
5.320000e+00 4.326162e-18
5.350000e+00 4.451567e-18
5.380000e+00 4.595467e-18
5.410000e+00 4.422381e-18
5.440000e+00 4.731790e-18
5.470000e+00 5.126035e-18
5.500000e+00 5.611744e-18
5.530000e+00 5.348193e-18
5.560000e+00 5.076850e-18
5.590000e+00 5.085446e-18
5.620000e+00 4.977156e-18
5.650000e+00 5.425089e-18
5.680000e+00 5.913763e-18
5.710000e+00 6.318261e-18
5.740000e+00 7.061649e-18
5.770000e+00 7.640411e-18
5.800000e+00 7.873846e-18
5.830000e+00 8.013504e-18
5.860000e+00 7.580379e-18
5.890000e+00 7.443451e-18
5.920000e+00 7.078112e-18
5.950000e+00 6.588861e-18
5.980000e+00 6.108138e-18
6.010000e+00 5.062034e-18
6.040000e+00 4.260883e-18
6.070000e+00 3.594371e-18
6.100000e+00 3.346576e-18
6.130000e+00 3.292813e-18
6.160000e+00 3.367249e-18
6.190000e+00 3.911893e-18
6.220000e+00 4.534495e-18
6.250000e+00 6.260751e-18
6.280000e+00 7.089583e-18
6.310000e+00 7.438131e-18
6.340000e+00 7.551260e-18
6.370000e+00 7.626485e-18
6.400000e+00 7.574635e-18
6.430000e+00 7.727271e-18
6.460000e+00 7.448951e-18
6.490000e+00 7.072760e-18
6.520000e+00 5.933627e-18
6.550000e+00 4.792841e-18
6.580000e+00 4.243267e-18
6.610000e+00 3.363767e-18
6.640000e+00 3.127998e-18
6.670000e+00 3.026234e-18
6.700000e+00 3.021885e-18
6.730000e+00 3.213238e-18
6.760000e+00 3.203571e-18
6.790000e+00 3.569084e-18
6.820000e+00 3.949364e-18
6.850000e+00 4.372377e-18
6.880000e+00 5.524846e-18
6.910000e+00 6.280843e-18
6.940000e+00 6.328286e-18
6.970000e+00 6.340913e-18
7.000000e+00 6.187709e-18
7.030000e+00 5.294651e-18
7.060000e+00 5.260121e-18
7.090000e+00 6.564502e-18
7.120000e+00 5.225900e-18
7.150000e+00 4.543953e-18
7.180000e+00 5.434802e-18
7.210000e+00 5.430320e-18
7.240000e+00 5.246686e-18
7.270000e+00 5.026129e-18
7.300000e+00 5.505833e-18
7.330000e+00 6.786159e-18
7.360000e+00 6.800183e-18
7.390000e+00 6.302277e-18
7.420000e+00 5.391754e-18
7.450000e+00 5.073017e-18
7.480000e+00 4.942973e-18
7.510000e+00 5.092826e-18
7.540000e+00 4.869664e-18
7.570000e+00 4.276137e-18
7.600000e+00 4.829528e-18
7.630000e+00 5.820785e-18
7.660000e+00 6.029717e-18
7.690000e+00 5.672052e-18
7.720000e+00 6.192770e-18
7.750000e+00 5.951251e-18
7.780000e+00 6.473872e-18
7.810000e+00 6.635528e-18
7.840000e+00 6.521806e-18
7.870000e+00 6.039235e-18
7.900000e+00 5.634965e-18
7.930000e+00 5.667908e-18
7.960000e+00 4.969219e-18
7.990000e+00 4.427257e-18
8.020000e+00 4.158511e-18
8.050000e+00 3.807883e-18
8.080000e+00 3.343945e-18
8.110000e+00 3.187964e-18
8.140000e+00 2.821769e-18
8.170000e+00 2.618671e-18
8.200000e+00 2.889154e-18
8.230000e+00 2.974415e-18
8.260000e+00 3.316772e-18
8.290000e+00 3.375546e-18
8.320000e+00 3.859443e-18
8.350000e+00 4.045935e-18
8.380000e+00 4.214904e-18
8.410000e+00 4.207348e-18
8.440000e+00 4.588910e-18
8.470000e+00 5.258629e-18
8.500000e+00 5.807609e-18
8.530000e+00 6.687256e-18
8.560000e+00 6.973875e-18
8.590000e+00 7.130855e-18
8.620000e+00 7.820862e-18
8.650000e+00 7.753311e-18
8.680000e+00 6.703486e-18
8.710000e+00 6.049140e-18
8.740000e+00 5.549719e-18
8.770000e+00 4.831025e-18
8.800000e+00 4.323012e-18
8.830000e+00 3.796905e-18
8.860000e+00 3.377619e-18
8.890000e+00 3.203064e-18
8.920000e+00 2.944038e-18
8.950000e+00 2.798431e-18
8.980000e+00 2.601848e-18
9.010000e+00 2.675743e-18
9.040000e+00 3.036137e-18
9.070000e+00 3.247032e-18
9.100000e+00 4.452623e-18
9.130000e+00 4.981350e-18
9.160000e+00 5.479362e-18
9.190000e+00 6.259774e-18
9.220000e+00 6.781994e-18
9.250000e+00 6.611656e-18
9.280000e+00 6.530381e-18
9.310000e+00 6.859159e-18
9.340000e+00 7.268963e-18
9.370000e+00 6.951446e-18
9.400000e+00 6.908857e-18
9.430000e+00 6.515874e-18
9.460000e+00 5.930195e-18
9.490000e+00 5.019830e-18
9.520000e+00 4.581537e-18
9.550000e+00 3.758347e-18
9.580000e+00 3.238060e-18
9.610000e+00 3.017340e-18
9.640000e+00 3.083812e-18
9.670000e+00 2.920721e-18
9.700000e+00 2.990068e-18
9.730000e+00 3.033610e-18
9.760000e+00 2.956325e-18
9.790000e+00 3.252380e-18
9.820000e+00 3.613008e-18
9.850000e+00 4.007465e-18
9.880000e+00 4.945744e-18
9.910000e+00 5.376716e-18
9.940000e+00 5.749651e-18
9.970000e+00 6.342796e-18
1.000000e+01 6.574861e-18
1.003000e+01 6.006611e-18
1.006000e+01 6.199197e-18
1.009000e+01 6.087347e-18
1.012000e+01 6.184258e-18
1.015000e+01 5.852093e-18
1.018000e+01 5.743735e-18
1.021000e+01 5.181358e-18
1.024000e+01 5.205772e-18
1.027000e+01 5.324899e-18
1.030000e+01 4.820796e-18
1.033000e+01 4.727812e-18
1.036000e+01 4.945626e-18
1.039000e+01 5.390619e-18
1.042000e+01 5.671915e-18
1.045000e+01 6.025982e-18
1.048000e+01 6.209938e-18
