# Mass_keV   sin2(2theta)
2.194000e+00 6.714579e-09
2.206000e+00 5.252559e-09
2.218000e+00 5.143785e-09
2.242000e+00 3.498791e-09
2.266000e+00 2.269011e-09
2.292000e+00 1.705051e-09
2.316000e+00 1.222213e-09
2.340000e+00 4.401661e-09
2.364000e+00 6.656537e-09
2.388000e+00 6.627642e-09
2.412000e+00 6.089227e-09
2.436000e+00 3.490269e-09
2.460000e+00 1.914951e-09
2.486000e+00 4.998178e-10
2.510000e+00 4.801721e-10
2.534000e+00 3.438146e-10
2.558000e+00 4.045042e-10
2.582000e+00 3.533071e-10
2.606000e+00 8.020877e-10
2.630000e+00 2.002679e-09
2.654000e+00 2.847981e-09
2.680000e+00 3.118556e-09
2.704000e+00 2.988763e-09
2.728000e+00 2.599852e-09
2.752000e+00 1.951292e-09
2.776000e+00 9.722822e-10
2.800000e+00 7.061315e-10
2.824000e+00 5.033921e-10
2.848000e+00 3.195309e-10
2.872000e+00 3.672358e-10
2.896000e+00 6.399021e-10
2.922000e+00 4.506068e-10
2.946000e+00 1.189198e-09
2.958000e+00 9.846846e-10
2.970000e+00 1.808347e-09
2.982000e+00 1.447293e-09
2.994000e+00 1.723544e-09
3.018000e+00 1.444363e-09
3.042000e+00 1.191674e-09
3.066000e+00 5.481920e-10
3.090000e+00 3.394809e-10
3.116000e+00 2.776806e-10
3.140000e+00 2.451704e-10
3.164000e+00 3.999840e-10
3.188000e+00 1.979923e-10
3.236000e+00 3.114920e-10
3.284000e+00 4.325810e-10
3.334000e+00 2.701870e-10
3.382000e+00 1.816073e-10
3.430000e+00 1.148360e-10
3.454000e+00 1.119243e-10
3.504000e+00 1.528064e-10
3.528000e+00 2.018738e-10
3.552000e+00 2.262664e-10
3.600000e+00 2.946730e-10
3.648000e+00 3.476303e-10
3.696000e+00 5.176869e-10
3.722000e+00 6.527757e-10
3.746000e+00 6.332327e-10
3.794000e+00 5.461923e-10
3.842000e+00 5.521832e-10
3.890000e+00 5.294980e-10
3.916000e+00 4.658910e-10
3.940000e+00 4.110273e-10
3.988000e+00 2.935793e-10
4.000000e+00 2.371441e-10
4.036000e+00 1.898466e-10
4.084000e+00 1.520770e-10
4.134000e+00 1.791506e-10
4.182000e+00 2.815495e-10
4.206000e+00 1.637060e-10
4.230000e+00 1.630214e-10
4.278000e+00 7.797177e-11
4.304000e+00 7.498288e-11
4.328000e+00 4.412830e-11
4.352000e+00 3.404063e-11
4.400000e+00 3.162748e-11
4.420000e+00 3.659558e-11
4.450000e+00 4.826380e-11
4.480000e+00 5.497975e-11
4.510000e+00 7.715880e-11
4.540000e+00 1.100568e-10
4.570000e+00 2.202645e-11
4.600000e+00 2.256052e-11
4.630000e+00 2.859310e-11
4.660000e+00 3.228579e-11
4.690000e+00 4.400432e-11
4.720000e+00 5.221723e-11
4.750000e+00 6.946432e-11
4.780000e+00 1.026934e-10
4.810000e+00 1.157795e-10
4.840000e+00 2.285373e-10
4.870000e+00 2.754522e-10
4.900000e+00 3.335937e-10
4.930000e+00 3.647642e-10
4.960000e+00 3.520791e-10
4.990000e+00 3.338592e-10
5.020000e+00 3.226438e-10
5.050000e+00 2.743007e-10
5.080000e+00 2.730603e-10
5.110000e+00 2.017961e-10
5.140000e+00 1.368996e-10
5.170000e+00 1.175185e-10
5.200000e+00 8.225686e-11
5.230000e+00 8.411155e-11
5.260000e+00 7.319730e-11
5.290000e+00 6.863465e-11
5.320000e+00 7.337321e-11
5.350000e+00 7.681677e-11
5.380000e+00 8.094966e-11
5.410000e+00 7.413454e-11
5.440000e+00 8.393409e-11
5.470000e+00 9.742183e-11
5.500000e+00 1.154836e-10
5.530000e+00 1.037520e-10
5.560000e+00 9.248137e-11
5.590000e+00 9.179776e-11
5.620000e+00 8.699015e-11
5.650000e+00 1.022538e-10
5.680000e+00 1.202199e-10
5.710000e+00 1.357846e-10
5.740000e+00 1.678412e-10
5.770000e+00 1.944350e-10
5.800000e+00 2.043586e-10
5.830000e+00 2.094910e-10
5.860000e+00 1.855354e-10
5.890000e+00 1.770682e-10
5.920000e+00 1.584881e-10
5.950000e+00 1.359485e-10
5.980000e+00 1.156606e-10
6.010000e+00 7.864185e-11
6.040000e+00 5.516460e-11
6.070000e+00 3.886744e-11
6.100000e+00 3.336122e-11
6.130000e+00 3.198128e-11
6.160000e+00 3.311724e-11
6.190000e+00 4.426293e-11
6.220000e+00 5.889891e-11
6.250000e+00 1.112002e-10
6.280000e+00 1.412268e-10
6.310000e+00 1.539737e-10
6.340000e+00 1.571884e-10
6.370000e+00 1.588227e-10
6.400000e+00 1.551989e-10
6.430000e+00 1.600067e-10
6.460000e+00 1.473043e-10
6.490000e+00 1.315713e-10
6.520000e+00 9.174882e-11
6.550000e+00 5.931181e-11
6.580000e+00 4.606480e-11
6.610000e+00 2.868479e-11
6.640000e+00 2.458000e-11
6.670000e+00 2.279928e-11
6.700000e+00 2.252975e-11
6.730000e+00 2.524576e-11
6.760000e+00 2.487084e-11
6.790000e+00 3.059651e-11
6.820000e+00 3.713350e-11
6.850000e+00 4.511458e-11
6.880000e+00 7.140175e-11
6.910000e+00 9.147611e-11
6.940000e+00 9.205847e-11
6.970000e+00 9.162860e-11
7.000000e+00 8.650458e-11
7.030000e+00 6.279457e-11
7.060000e+00 6.145011e-11
7.090000e+00 9.489299e-11
7.120000e+00 5.963041e-11
7.150000e+00 4.470372e-11
7.180000e+00 6.341460e-11
7.210000e+00 6.278177e-11
7.240000e+00 5.812043e-11
7.270000e+00 5.289525e-11
7.300000e+00 6.295078e-11
7.330000e+00 9.484697e-11
7.360000e+00 9.446076e-11
7.390000e+00 8.047379e-11
7.420000e+00 5.842290e-11
7.450000e+00 5.130190e-11
7.480000e+00 4.831358e-11
7.510000e+00 5.087638e-11
7.540000e+00 4.614412e-11
7.570000e+00 3.529840e-11
7.600000e+00 4.466922e-11
7.630000e+00 6.437580e-11
7.660000e+00 6.853737e-11
7.690000e+00 6.017297e-11
7.720000e+00 7.116910e-11
7.750000e+00 6.521566e-11
7.780000e+00 7.657559e-11
7.810000e+00 7.982755e-11
7.840000e+00 7.652265e-11
7.870000e+00 6.511535e-11
7.900000e+00 5.625742e-11
7.930000e+00 5.648501e-11
7.960000e+00 4.308903e-11
7.990000e+00 3.394494e-11
8.020000e+00 2.972410e-11
8.050000e+00 2.473658e-11
8.080000e+00 1.893400e-11
8.110000e+00 1.708105e-11
8.140000e+00 1.328330e-11
8.170000e+00 1.135565e-11
8.200000e+00 1.372116e-11
8.230000e+00 1.443653e-11
8.260000e+00 1.782023e-11
8.290000e+00 1.832330e-11
8.320000e+00 2.377989e-11
8.350000e+00 2.594505e-11
8.380000e+00 2.795501e-11
8.410000e+00 2.765539e-11
8.440000e+00 3.266418e-11
8.470000e+00 4.258907e-11
8.500000e+00 5.157740e-11
8.530000e+00 6.790206e-11
8.560000e+00 7.332777e-11
8.590000e+00 7.612847e-11
8.620000e+00 9.093424e-11
8.650000e+00 8.874779e-11
8.680000e+00 6.588094e-11
8.710000e+00 5.327598e-11
8.740000e+00 4.453302e-11
8.770000e+00 3.351390e-11
8.800000e+00 2.665236e-11
8.830000e+00 2.041968e-11
8.860000e+00 1.604897e-11
8.890000e+00 1.433520e-11
8.920000e+00 1.202861e-11
8.950000e+00 1.079504e-11
8.980000e+00 9.269042e-12
9.010000e+00 9.737454e-12
9.040000e+00 1.245359e-11
9.070000e+00 1.414913e-11
9.100000e+00 2.643035e-11
9.130000e+00 3.286162e-11
9.160000e+00 3.949918e-11
9.190000e+00 5.121389e-11
9.220000e+00 5.972237e-11
9.250000e+00 5.639022e-11
9.280000e+00 5.465506e-11
9.310000e+00 5.990654e-11
9.340000e+00 6.684449e-11
9.370000e+00 6.073908e-11
9.400000e+00 5.961236e-11
9.430000e+00 5.268465e-11
9.460000e+00 4.336111e-11
9.490000e+00 3.087258e-11
9.520000e+00 2.555397e-11
9.550000e+00 1.708754e-11
9.580000e+00 1.260416e-11
9.610000e+00 1.087576e-11
9.640000e+00 1.128917e-11
9.670000e+00 1.006352e-11
9.700000e+00 1.048151e-11
9.730000e+00 1.072215e-11
9.760000e+00 1.011988e-11
9.790000e+00 1.217280e-11
9.820000e+00 1.492968e-11
9.850000e+00 1.825515e-11
9.880000e+00 2.763442e-11
9.910000e+00 3.246164e-11
9.940000e+00 3.689575e-11
9.970000e+00 4.462928e-11
1.000000e+01 4.766553e-11
1.003000e+01 3.954314e-11
1.006000e+01 4.186696e-11
1.009000e+01 4.012850e-11
1.012000e+01 4.116953e-11
1.015000e+01 3.664668e-11
1.018000e+01 3.509298e-11
1.021000e+01 2.838868e-11
1.024000e+01 2.848803e-11
1.027000e+01 2.963170e-11
1.030000e+01 2.414462e-11
1.033000e+01 2.308659e-11
1.036000e+01 2.511571e-11
1.039000e+01 2.966547e-11
1.042000e+01 3.265214e-11
1.045000e+01 3.664320e-11
1.048000e+01 3.869054e-11
1.051000e+01 3.822632e-11
1.054000e+01 3.792603e-11
1.057000e+01 3.054720e-11
1.060000e+01 2.872193e-11
1.063000e+01 2.380272e-11
1.066000e+01 2.665623e-11
1.069000e+01 2.201485e-11
1.072000e+01 2.638627e-11
1.075000e+01 2.798264e-11
1.078000e+01 2.301535e-11
1.081000e+01 2.040738e-11
1.084000e+01 1.816213e-11
1.087000e+01 1.936025e-11
1.090000e+01 2.144198e-11
1.093000e+01 2.817116e-11
1.096000e+01 3.134843e-11
1.099000e+01 3.118588e-11
1.102000e+01 3.266818e-11
1.105000e+01 2.965574e-11
1.108000e+01 2.890895e-11
1.111000e+01 2.808773e-11
1.114000e+01 3.060393e-11
1.117000e+01 2.666130e-11
1.120000e+01 3.148789e-11
1.123000e+01 3.087894e-11
1.126000e+01 2.984382e-11
1.129000e+01 3.406500e-11
1.132000e+01 3.418241e-11
1.135000e+01 3.464777e-11
1.138000e+01 2.925398e-11
1.141000e+01 3.103830e-11
1.144000e+01 2.435045e-11
1.147000e+01 2.698292e-11
1.150000e+01 2.272966e-11
1.153000e+01 1.841023e-11
1.156000e+01 1.638544e-11
1.159000e+01 1.550182e-11
1.162000e+01 1.573271e-11
1.165000e+01 1.954830e-11
1.168000e+01 2.116118e-11
1.171000e+01 2.531015e-11
1.174000e+01 3.213679e-11
1.177000e+01 3.848655e-11
1.180000e+01 3.587073e-11
1.183000e+01 2.747289e-11
1.186000e+01 2.896759e-11
1.189000e+01 2.308989e-11
1.192000e+01 1.974808e-11
1.195000e+01 1.499308e-11
1.198000e+01 1.344419e-11
1.201000e+01 1.431603e-11
