# Mass_keV   sin2(2theta)
2.194000e+00 5.787147e-09
2.206000e+00 4.536145e-09
2.218000e+00 4.451212e-09
2.242000e+00 3.039954e-09
2.266000e+00 1.979393e-09
2.292000e+00 1.493885e-09
2.316000e+00 1.074784e-09
2.340000e+00 3.884286e-09
2.364000e+00 5.894650e-09
2.388000e+00 5.889501e-09
2.412000e+00 5.428511e-09
2.436000e+00 3.120807e-09
2.460000e+00 1.717320e-09
2.486000e+00 4.496700e-10
2.510000e+00 4.330766e-10
2.534000e+00 3.106752e-10
2.558000e+00 3.662000e-10
2.582000e+00 3.204491e-10
2.606000e+00 7.287825e-10
2.630000e+00 1.822358e-09
2.654000e+00 2.595402e-09
2.680000e+00 2.846551e-09
2.704000e+00 2.732400e-09
2.728000e+00 2.381818e-09
2.752000e+00 1.791378e-09
2.776000e+00 8.944596e-10
2.800000e+00 6.509615e-10
2.824000e+00 4.648569e-10
2.848000e+00 2.955749e-10
2.872000e+00 3.402828e-10
2.896000e+00 5.939472e-10
2.922000e+00 4.189482e-10
2.946000e+00 1.107327e-09
2.958000e+00 9.175894e-10
2.970000e+00 1.686406e-09
2.982000e+00 1.350720e-09
2.994000e+00 1.609755e-09
3.018000e+00 1.350836e-09
3.042000e+00 1.115961e-09
3.066000e+00 5.140305e-10
3.090000e+00 3.187391e-10
3.116000e+00 2.611010e-10
3.140000e+00 2.308568e-10
3.164000e+00 3.771619e-10
3.188000e+00 1.869577e-10
3.236000e+00 2.948296e-10
3.284000e+00 4.103511e-10
3.334000e+00 2.568047e-10
3.382000e+00 1.729092e-10
3.430000e+00 1.095319e-10
3.454000e+00 1.068525e-10
3.504000e+00 1.461559e-10
3.528000e+00 1.932291e-10
3.552000e+00 2.167356e-10
3.600000e+00 2.826733e-10
3.648000e+00 3.337209e-10
3.696000e+00 4.973405e-10
3.722000e+00 6.273854e-10
3.746000e+00 6.088423e-10
3.794000e+00 5.255684e-10
3.842000e+00 5.318847e-10
3.890000e+00 5.105807e-10
3.916000e+00 4.495303e-10
3.940000e+00 3.968363e-10
3.988000e+00 2.837906e-10
4.000000e+00 2.293072e-10
4.036000e+00 1.837276e-10
4.084000e+00 1.473408e-10
4.134000e+00 1.737441e-10
4.182000e+00 2.732922e-10
4.206000e+00 1.589754e-10
4.230000e+00 1.583836e-10
4.278000e+00 7.582347e-11
4.304000e+00 7.295190e-11
4.328000e+00 4.294773e-11
4.352000e+00 3.314125e-11
4.400000e+00 3.081291e-11
4.420000e+00 3.566308e-11
4.450000e+00 4.705385e-11
4.480000e+00 5.362404e-11
4.510000e+00 7.529114e-11
4.540000e+00 1.074518e-10
4.570000e+00 2.151691e-11
4.600000e+00 2.205072e-11
4.630000e+00 2.795888e-11
4.660000e+00 3.158309e-11
4.690000e+00 4.306486e-11
4.720000e+00 5.112190e-11
4.750000e+00 6.803162e-11
4.780000e+00 1.006114e-10
4.810000e+00 1.134609e-10
4.840000e+00 2.239696e-10
4.870000e+00 2.699577e-10
4.900000e+00 3.269527e-10
4.930000e+00 3.575171e-10
4.960000e+00 3.450980e-10
4.990000e+00 3.272525e-10
5.020000e+00 3.162718e-10
5.050000e+00 2.688943e-10
5.080000e+00 2.676891e-10
5.110000e+00 1.978347e-10
5.140000e+00 1.342176e-10
5.170000e+00 1.152208e-10
5.200000e+00 8.065186e-11
5.230000e+00 8.247368e-11
5.260000e+00 7.177487e-11
5.290000e+00 6.730359e-11
5.320000e+00 7.195316e-11
5.350000e+00 7.533311e-11
5.380000e+00 7.938937e-11
5.410000e+00 7.270855e-11
5.440000e+00 8.232292e-11
5.470000e+00 9.555561e-11
5.500000e+00 1.132760e-10
5.530000e+00 1.017727e-10
5.560000e+00 9.072076e-11
5.590000e+00 9.005380e-11
5.620000e+00 8.534096e-11
5.650000e+00 1.003193e-10
5.680000e+00 1.179502e-10
5.710000e+00 1.332264e-10
5.740000e+00 1.646857e-10
5.770000e+00 1.907873e-10
5.800000e+00 2.005328e-10
5.830000e+00 2.055774e-10
5.860000e+00 1.820766e-10
5.890000e+00 1.737743e-10
5.920000e+00 1.555461e-10
5.950000e+00 1.334303e-10
5.980000e+00 1.135227e-10
6.010000e+00 7.719137e-11
6.040000e+00 5.414932e-11
6.070000e+00 3.815364e-11
6.100000e+00 3.274986e-11
6.130000e+00 3.139647e-11
6.160000e+00 3.251297e-11
6.190000e+00 4.345704e-11
6.220000e+00 5.782888e-11
6.250000e+00 1.091844e-10
6.280000e+00 1.386723e-10
6.310000e+00 1.511947e-10
6.340000e+00 1.543576e-10
6.370000e+00 1.559687e-10
6.400000e+00 1.524162e-10
6.430000e+00 1.571441e-10
6.460000e+00 1.446748e-10
6.490000e+00 1.292278e-10
6.520000e+00 9.011828e-11
6.550000e+00 5.826008e-11
6.580000e+00 4.524979e-11
6.610000e+00 2.817841e-11
6.640000e+00 2.414706e-11
6.670000e+00 2.239860e-11
6.700000e+00 2.213471e-11
6.730000e+00 2.480409e-11
6.760000e+00 2.443671e-11
6.790000e+00 3.006365e-11
6.820000e+00 3.648826e-11
6.850000e+00 4.433244e-11
6.880000e+00 7.016670e-11
6.910000e+00 8.989745e-11
6.940000e+00 9.047340e-11
6.970000e+00 9.005456e-11
7.000000e+00 8.502198e-11
7.030000e+00 6.172082e-11
7.060000e+00 6.040178e-11
7.090000e+00 9.327788e-11
7.120000e+00 5.861784e-11
7.150000e+00 4.394639e-11
7.180000e+00 6.234279e-11
7.210000e+00 6.172313e-11
7.240000e+00 5.714269e-11
7.270000e+00 5.200751e-11
7.300000e+00 6.189676e-11
7.330000e+00 9.326265e-11
7.360000e+00 9.288664e-11
7.390000e+00 7.913593e-11
7.420000e+00 5.745395e-11
7.450000e+00 5.045307e-11
7.480000e+00 4.751611e-11
7.510000e+00 5.003862e-11
7.540000e+00 4.538611e-11
7.570000e+00 3.471995e-11
7.600000e+00 4.393897e-11
7.630000e+00 6.332594e-11
7.660000e+00 6.742235e-11
7.690000e+00 5.919640e-11
7.720000e+00 7.001689e-11
7.750000e+00 6.416242e-11
7.780000e+00 7.534191e-11
7.810000e+00 7.854463e-11
7.840000e+00 7.529588e-11
7.870000e+00 6.407403e-11
7.900000e+00 5.535998e-11
7.930000e+00 5.558617e-11
7.960000e+00 4.240507e-11
7.990000e+00 3.340746e-11
8.020000e+00 2.925463e-11
8.050000e+00 2.434686e-11
8.080000e+00 1.863645e-11
8.110000e+00 1.681329e-11
8.140000e+00 1.307560e-11
8.170000e+00 1.117854e-11
8.200000e+00 1.350770e-11
8.230000e+00 1.421252e-11
8.260000e+00 1.754441e-11
8.290000e+00 1.804042e-11
8.320000e+00 2.341371e-11
8.350000e+00 2.554656e-11
8.380000e+00 2.752675e-11
8.410000e+00 2.723281e-11
8.440000e+00 3.216636e-11
8.470000e+00 4.194168e-11
8.500000e+00 5.079542e-11
8.530000e+00 6.687525e-11
8.560000e+00 7.222182e-11
8.590000e+00 7.498329e-11
8.620000e+00 8.956994e-11
8.650000e+00 8.741981e-11
8.680000e+00 6.489773e-11
8.710000e+00 5.248300e-11
8.740000e+00 4.387193e-11
8.770000e+00 3.301771e-11
8.800000e+00 2.625881e-11
8.830000e+00 2.011897e-11
8.860000e+00 1.581326e-11
8.890000e+00 1.412523e-11
8.920000e+00 1.185290e-11
8.950000e+00 1.063777e-11
8.980000e+00 9.134377e-12
9.010000e+00 9.596368e-12
9.040000e+00 1.227365e-11
9.070000e+00 1.394524e-11
9.100000e+00 2.605053e-11
9.130000e+00 3.239069e-11
9.160000e+00 3.893469e-11
