# Mass_keV   tau_s
2.194000e+00 2.109262e+28
2.206000e+00 2.623820e+28
2.218000e+00 2.607606e+28
2.242000e+00 3.632758e+28
2.266000e+00 5.311246e+28
2.292000e+00 6.676086e+28
2.316000e+00 8.840827e+28
2.340000e+00 2.331506e+28
2.364000e+00 1.465031e+28
2.388000e+00 1.398949e+28
2.412000e+00 1.448384e+28
2.436000e+00 2.404846e+28
2.460000e+00 4.173490e+28
2.486000e+00 1.517103e+29
2.510000e+00 1.505106e+29
2.534000e+00 2.004357e+29
2.558000e+00 1.625200e+29
2.582000e+00 1.775820e+29
2.606000e+00 7.468589e+28
2.630000e+00 2.857211e+28
2.654000e+00 1.919954e+28
2.680000e+00 1.669956e+28
2.704000e+00 1.666509e+28
2.728000e+00 1.832998e+28
2.752000e+00 2.337589e+28
2.776000e+00 4.492032e+28
2.800000e+00 5.924569e+28
2.824000e+00 7.963475e+28
2.848000e+00 1.202596e+29
2.872000e+00 1.003380e+29
2.896000e+00 5.523650e+28
2.922000e+00 7.501251e+28
2.946000e+00 2.728442e+28
2.958000e+00 3.228825e+28
2.970000e+00 1.722933e+28
2.982000e+00 2.109783e+28
2.994000e+00 1.736406e+28
3.018000e+00 1.990948e+28
3.042000e+00 2.319417e+28
3.066000e+00 4.847737e+28
3.090000e+00 7.528783e+28
3.116000e+00 8.826726e+28
3.140000e+00 9.620910e+28
3.164000e+00 5.676851e+28
3.188000e+00 1.104314e+29
3.236000e+00 6.513929e+28
3.284000e+00 4.357620e+28
3.334000e+00 6.469044e+28
3.382000e+00 8.960479e+28
3.430000e+00 1.320638e+29
3.454000e+00 1.308568e+29
3.504000e+00 8.920118e+28
3.528000e+00 6.525439e+28
3.552000e+00 5.627917e+28
3.600000e+00 4.040915e+28
3.648000e+00 3.205831e+28
3.696000e+00 2.016534e+28
3.722000e+00 1.544140e+28
3.746000e+00 1.541453e+28
3.794000e+00 1.676873e+28
3.842000e+00 1.557624e+28
3.890000e+00 1.526582e+28
