# Mass_keV   tau_s
2.194000e+00 2.447287e+28
2.206000e+00 3.038211e+28
2.218000e+00 3.013329e+28
2.242000e+00 4.181070e+28
2.266000e+00 6.088368e+28
2.292000e+00 7.619778e+28
2.316000e+00 1.005353e+29
2.340000e+00 2.642056e+28
2.364000e+00 1.654387e+28
2.388000e+00 1.574281e+28
2.412000e+00 1.624670e+28
2.436000e+00 2.689547e+28
2.460000e+00 4.653778e+28
2.486000e+00 1.686293e+29
2.510000e+00 1.668780e+29
2.534000e+00 2.218160e+29
2.558000e+00 1.795194e+29
2.582000e+00 1.957908e+29
2.606000e+00 8.219824e+28
2.630000e+00 3.139931e+28
2.654000e+00 2.106800e+28
2.680000e+00 1.829530e+28
2.704000e+00 1.822866e+28
2.728000e+00 2.000792e+28
2.752000e+00 2.546261e+28
2.776000e+00 4.882862e+28
2.800000e+00 6.426685e+28
2.824000e+00 8.623624e+28
2.848000e+00 1.300065e+29
2.872000e+00 1.082855e+29
2.896000e+00 5.951026e+28
2.922000e+00 8.068096e+28
2.946000e+00 2.930170e+28
2.958000e+00 3.464921e+28
2.970000e+00 1.847516e+28
2.982000e+00 2.260626e+28
2.994000e+00 1.859147e+28
3.018000e+00 2.128794e+28
3.042000e+00 2.476779e+28
3.066000e+00 5.169908e+28
3.090000e+00 8.018714e+28
3.116000e+00 9.387213e+28
3.140000e+00 1.021743e+29
3.164000e+00 6.020357e+28
3.188000e+00 1.169493e+29
3.236000e+00 6.882067e+28
3.284000e+00 4.593684e+28
3.334000e+00 6.806150e+28
3.382000e+00 9.411228e+28
3.430000e+00 1.384591e+29
3.454000e+00 1.370680e+29
3.504000e+00 9.326006e+28
3.528000e+00 6.817374e+28
3.552000e+00 5.875401e+28
3.600000e+00 4.212454e+28
3.648000e+00 3.339450e+28
3.696000e+00 2.099031e+28
3.722000e+00 1.606631e+28
3.746000e+00 1.603204e+28
3.794000e+00 1.742676e+28
3.842000e+00 1.617068e+28
3.890000e+00 1.583143e+28
3.916000e+00 1.739243e+28
3.940000e+00 1.910909e+28
3.988000e+00 2.515120e+28
4.000000e+00 3.066302e+28
4.036000e+00 3.659336e+28
4.084000e+00 4.301113e+28
4.134000e+00 3.432180e+28
4.182000e+00 2.059610e+28
4.206000e+00 3.440775e+28
4.230000e+00 3.356761e+28
4.278000e+00 6.627121e+28
4.304000e+00 6.682433e+28
4.328000e+00 1.103967e+29
4.352000e+00 1.391615e+29
4.400000e+00 1.416891e+29
4.420000e+00 1.196747e+29
4.450000e+00 8.768743e+28
4.480000e+00 7.440171e+28
4.510000e+00 5.125142e+28
4.540000e+00 3.474078e+28
4.570000e+00 1.678694e+29
4.600000e+00 1.585333e+29
4.630000e+00 1.210341e+29
4.660000e+00 1.037405e+29
4.690000e+00 7.367925e+28
4.720000e+00 6.011953e+28
4.750000e+00 4.376769e+28
4.780000e+00 2.867780e+28
4.810000e+00 2.464683e+28
4.840000e+00 1.210366e+28
4.870000e+00 9.736255e+27
4.900000e+00 7.795916e+27
4.930000e+00 6.915141e+27
4.960000e+00 6.949951e+27
4.990000e+00 7.111263e+27
5.020000e+00 7.140909e+27
5.050000e+00 8.152561e+27
5.080000e+00 7.950295e+27
5.110000e+00 1.044541e+28
5.140000e+00 1.495228e+28
5.170000e+00 1.691799e+28
5.200000e+00 2.348018e+28
5.230000e+00 2.231047e+28
5.260000e+00 2.491331e+28
5.290000e+00 2.582355e+28
5.320000e+00 2.348143e+28
5.350000e+00 2.180608e+28
5.380000e+00 2.012143e+28
5.410000e+00 2.136784e+28
5.440000e+00 1.835766e+28
5.470000e+00 1.538649e+28
5.500000e+00 1.262936e+28
5.530000e+00 1.367966e+28
5.560000e+00 1.493660e+28
5.590000e+00 1.464777e+28
5.620000e+00 1.504851e+28
5.650000e+00 1.246539e+28
5.680000e+00 1.032505e+28
5.710000e+00 8.903515e+27
5.740000e+00 7.016443e+27
5.770000e+00 5.900707e+27
5.800000e+00 5.470249e+27
5.830000e+00 5.200131e+27
5.860000e+00 5.722558e+27
5.890000e+00 5.844810e+27
5.920000e+00 6.365975e+27
5.950000e+00 7.235912e+27
5.980000e+00 8.293612e+27
6.010000e+00 1.189574e+28
6.040000e+00 1.654074e+28
6.070000e+00 2.290093e+28
6.100000e+00 2.602998e+28
6.130000e+00 2.649411e+28
6.160000e+00 2.496734e+28
6.190000e+00 1.823136e+28
6.220000e+00 1.337321e+28
6.250000e+00 6.914678e+27
6.280000e+00 5.315505e+27
6.310000e+00 4.760463e+27
6.340000e+00 4.553636e+27
6.370000e+00 4.401470e+27
6.400000e+00 4.399482e+27
6.430000e+00 4.168499e+27
6.460000e+00 4.423612e+27
6.490000e+00 4.838970e+27
6.520000e+00 6.780811e+27
6.550000e+00 1.025073e+28
6.580000e+00 1.289990e+28
6.610000e+00 2.024924e+28
6.640000e+00 2.310084e+28
6.670000e+00 2.434907e+28
6.700000e+00 2.409266e+28
6.730000e+00 2.102490e+28
6.760000e+00 2.087162e+28
6.790000e+00 1.659365e+28
6.820000e+00 1.337388e+28
6.850000e+00 1.076857e+28
6.880000e+00 6.656704e+27
6.910000e+00 5.083875e+27
6.940000e+00 4.943269e+27
6.970000e+00 4.860298e+27
7.000000e+00 5.038614e+27
7.030000e+00 6.793979e+27
7.060000e+00 6.796092e+27
7.090000e+00 4.308466e+27
7.120000e+00 6.712784e+27
7.150000e+00 8.767567e+27
7.180000e+00 6.052351e+27
7.210000e+00 5.986985e+27
7.240000e+00 6.334013e+27
7.270000e+00 6.817017e+27
7.300000e+00 5.611129e+27
7.330000e+00 3.648420e+27
7.360000e+00 3.589138e+27
7.390000e+00 4.127971e+27
7.420000e+00 5.571769e+27
7.450000e+00 6.218183e+27
7.480000e+00 6.471182e+27
7.510000e+00 6.023203e+27
7.540000e+00 6.509577e+27
7.570000e+00 8.342073e+27
7.600000e+00 6.462710e+27
7.630000e+00 4.396714e+27
7.660000e+00 4.049345e+27
7.690000e+00 4.522780e+27
7.720000e+00 3.750103e+27
7.750000e+00 4.013685e+27
7.780000e+00 3.352724e+27
7.810000e+00 3.154720e+27
7.840000e+00 3.228353e+27
7.870000e+00 3.722004e+27
7.900000e+00 4.226697e+27
7.930000e+00 4.130473e+27
7.960000e+00 5.313117e+27
7.990000e+00 6.618432e+27
8.020000e+00 7.417645e+27
8.050000e+00 8.748027e+27
8.080000e+00 1.121792e+28
8.110000e+00 1.220606e+28
8.140000e+00 1.540809e+28
8.170000e+00 1.769445e+28
8.200000e+00 1.437745e+28
8.230000e+00 1.341721e+28
8.260000e+00 1.067317e+28
8.290000e+00 1.019326e+28
8.320000e+00 7.713397e+27
8.350000e+00 6.943329e+27
8.380000e+00 6.329325e+27
8.410000e+00 6.284345e+27
8.440000e+00 5.226589e+27
8.470000e+00 3.937945e+27
8.500000e+00 3.194577e+27
8.530000e+00 2.384086e+27
8.560000e+00 2.169178e+27
8.590000e+00 2.053062e+27
8.620000e+00 1.689017e+27
8.650000e+00 1.700756e+27
8.680000e+00 2.251668e+27
8.710000e+00 2.736674e+27
8.740000e+00 3.218019e+27
8.770000e+00 4.203272e+27
8.800000e+00 5.195700e+27
8.830000e+00 6.666889e+27
8.860000e+00 8.339545e+27
8.890000e+00 9.179695e+27
8.920000e+00 1.075681e+28
8.950000e+00 1.178601e+28
8.980000e+00 1.349808e+28
9.010000e+00 1.263577e+28
9.040000e+00 9.716655e+27
9.070000e+00 8.411433e+27
9.100000e+00 4.429033e+27
9.130000e+00 3.503954e+27
9.160000e+00 2.867599e+27
9.190000e+00 2.175711e+27
9.220000e+00 1.835513e+27
9.250000e+00 1.912578e+27
9.280000e+00 1.941529e+27
9.310000e+00 1.742906e+27
9.340000e+00 1.537019e+27
9.370000e+00 1.664546e+27
9.400000e+00 1.669048e+27
9.430000e+00 1.858594e+27
9.460000e+00 2.222560e+27
9.490000e+00 3.072474e+27
9.520000e+00 3.653690e+27
9.550000e+00 5.378499e+27
9.580000e+00 7.177921e+27
9.610000e+00 8.189288e+27
9.640000e+00 7.767086e+27
9.670000e+00 8.578381e+27
9.700000e+00 8.109380e+27
9.730000e+00 7.805611e+27
9.760000e+00 8.143497e+27
9.790000e+00 6.666751e+27
9.820000e+00 5.352944e+27
9.850000e+00 4.311385e+27
9.880000e+00 2.804986e+27
9.910000e+00 2.351851e+27
9.940000e+00 2.038087e+27
9.970000e+00 1.659655e+27
1.000000e+01 1.530706e+27
1.003000e+01 1.817620e+27
1.006000e+01 1.691220e+27
1.009000e+01 1.738342e+27
1.012000e+01 1.669353e+27
1.015000e+01 1.847755e+27
1.018000e+01 1.901222e+27
1.021000e+01 2.315797e+27
1.024000e+01 2.274023e+27
1.027000e+01 2.154422e+27
1.030000e+01 2.605648e+27
1.033000e+01 2.685613e+27
1.036000e+01 2.433006e+27
1.039000e+01 2.030210e+27
1.042000e+01 1.818035e+27
1.045000e+01 1.596836e+27
1.048000e+01 1.490756e+27
1.051000e+01 1.487388e+27
1.054000e+01 1.477892e+27
1.057000e+01 1.808920e+27
1.060000e+01 1.896729e+27
1.063000e+01 2.256513e+27
1.066000e+01 1.986684e+27
1.069000e+01 2.371875e+27
1.072000e+01 1.951312e+27
1.075000e+01 1.814388e+27
1.078000e+01 2.175367e+27
1.081000e+01 2.419418e+27
1.084000e+01 2.680994e+27
1.087000e+01 2.480465e+27
1.090000e+01 2.208904e+27
1.093000e+01 1.658255e+27
1.096000e+01 1.469843e+27
1.099000e+01 1.457390e+27
1.102000e+01 1.372372e+27
1.105000e+01 1.491308e+27
1.108000e+01 1.509173e+27
