# Mass_keV   gagg_GeV-1
2.218000e+00 9.113261e-18
2.266000e+00 6.671075e-18
2.316000e+00 1.136849e-17
2.364000e+00 2.183720e-17
2.412000e+00 2.425200e-17
2.460000e+00 2.388649e-17
2.510000e+00 1.670848e-17
2.558000e+00 1.276333e-17
2.606000e+00 1.151190e-17
2.654000e+00 1.647004e-17
2.704000e+00 1.126920e-17
2.752000e+00 9.451907e-18
2.800000e+00 1.478447e-17
2.848000e+00 1.561721e-17
2.896000e+00 1.730101e-17
2.946000e+00 1.531802e-17
2.970000e+00 1.285484e-17
2.994000e+00 1.269172e-17
3.042000e+00 1.303499e-17
3.090000e+00 8.173323e-18
3.140000e+00 6.526348e-18
3.188000e+00 5.063493e-18
3.236000e+00 1.038381e-17
3.284000e+00 1.025931e-17
3.334000e+00 8.017765e-18
3.382000e+00 6.320964e-18
3.430000e+00 5.455779e-18
3.454000e+00 5.581068e-18
3.504000e+00 6.391870e-18
3.528000e+00 7.166375e-18
3.552000e+00 7.084459e-18
3.600000e+00 7.271716e-18
3.648000e+00 8.402606e-18
3.696000e+00 1.176680e-17
3.722000e+00 1.163978e-17
3.746000e+00 8.389873e-18
3.794000e+00 7.994410e-18
3.842000e+00 7.899008e-18
3.890000e+00 7.896246e-18
3.916000e+00 7.969394e-18
3.940000e+00 8.126253e-18
3.988000e+00 6.779899e-18
4.000000e+00 6.340984e-18
4.036000e+00 6.193463e-18
4.084000e+00 7.391711e-18
4.134000e+00 8.274141e-18
4.182000e+00 1.066014e-17
4.206000e+00 1.066067e-17
4.230000e+00 1.021869e-17
4.278000e+00 9.709491e-18
4.304000e+00 9.246575e-18
4.328000e+00 5.443380e-18
4.352000e+00 3.253986e-18
4.400000e+00 2.414057e-18
4.420000e+00 2.327874e-18
4.450000e+00 2.050047e-18
4.480000e+00 1.971435e-18
4.510000e+00 2.003598e-18
4.540000e+00 2.018459e-18
4.570000e+00 2.056149e-18
4.600000e+00 2.094588e-18
4.630000e+00 2.373437e-18
4.660000e+00 2.538387e-18
4.690000e+00 2.982543e-18
4.720000e+00 3.269754e-18
4.750000e+00 3.795253e-18
4.780000e+00 4.643712e-18
4.810000e+00 4.961661e-18
4.840000e+00 7.014393e-18
4.870000e+00 7.748511e-18
4.900000e+00 8.579683e-18
4.930000e+00 9.026497e-18
4.960000e+00 8.922119e-18
4.990000e+00 8.740745e-18
5.020000e+00 8.644334e-18
5.050000e+00 8.018092e-18
5.080000e+00 8.047466e-18
5.110000e+00 6.958946e-18
5.140000e+00 5.765413e-18
5.170000e+00 5.372913e-18
5.200000e+00 4.521220e-18
5.230000e+00 4.598283e-18
5.260000e+00 4.314192e-18
5.290000e+00 4.201396e-18
5.320000e+00 4.368643e-18
5.350000e+00 4.495189e-18
5.380000e+00 4.640406e-18
5.410000e+00 4.465538e-18
5.440000e+00 4.777870e-18
5.470000e+00 5.175850e-18
5.500000e+00 5.666164e-18
5.530000e+00 5.399948e-18
5.560000e+00 5.125876e-18
5.590000e+00 5.134451e-18
5.620000e+00 5.025017e-18
5.650000e+00 5.477147e-18
5.680000e+00 5.970389e-18
5.710000e+00 6.378632e-18
5.740000e+00 7.128979e-18
5.770000e+00 7.713104e-18
5.800000e+00 7.948600e-18
5.830000e+00 8.089421e-18
5.860000e+00 7.652039e-18
