# Mass_keV   gagg_GeV-1
1.100000e+00 3.334716e-14
1.110722e+00 2.931279e-16
1.121549e+00 2.846787e-16
1.132482e+00 2.764731e-16
1.143521e+00 2.685040e-16
1.154667e+00 2.607646e-16
1.165923e+00 2.532483e-16
1.177287e+00 2.459487e-16
1.188763e+00 2.388594e-16
1.200351e+00 2.319745e-16
1.212051e+00 2.252880e-16
1.223866e+00 2.187943e-16
1.235796e+00 2.124878e-16
1.247842e+00 2.063630e-16
1.260005e+00 2.004147e-16
1.272287e+00 1.946380e-16
1.284689e+00 1.890277e-16
1.297212e+00 1.835791e-16
1.309856e+00 1.782876e-16
1.322624e+00 1.731487e-16
1.335517e+00 1.681578e-16
1.348535e+00 1.633108e-16
1.361680e+00 1.586035e-16
1.374953e+00 1.260287e-16
1.388356e+00 1.224940e-16
1.401889e+00 1.213310e-16
1.415554e+00 1.218232e-16
1.429352e+00 1.204531e-16
1.443285e+00 1.136520e-16
1.457353e+00 1.072349e-16
1.471559e+00 1.011802e-16
1.485903e+00 9.263112e-17
1.500387e+00 8.029696e-17
1.515012e+00 7.482181e-17
1.529780e+00 7.099731e-17
1.544692e+00 6.614178e-17
1.559749e+00 6.344582e-17
1.574953e+00 6.227927e-17
1.590305e+00 6.174424e-17
1.605806e+00 6.234609e-17
1.621459e+00 6.295382e-17
1.637265e+00 6.320155e-17
1.653224e+00 6.229044e-17
1.669339e+00 6.139247e-17
1.685611e+00 6.050744e-17
1.702042e+00 5.963517e-17
1.718633e+00 5.877547e-17
1.735385e+00 6.011274e-17
1.752301e+00 6.208650e-17
1.769382e+00 6.412508e-17
1.786629e+00 6.623059e-17
1.804044e+00 6.710852e-17
1.821629e+00 5.916750e-17
1.839386e+00 5.216615e-17
1.857316e+00 5.202842e-17
1.875420e+00 5.366087e-17
1.893701e+00 5.534454e-17
1.912160e+00 5.402505e-17
1.930799e+00 5.134641e-17
1.949620e+00 4.880059e-17
1.968624e+00 4.638099e-17
1.987813e+00 4.408136e-17
2.007190e+00 4.305448e-17
2.026755e+00 4.618799e-17
2.046511e+00 4.954955e-17
2.066459e+00 4.893978e-17
2.086602e+00 4.452356e-17
2.106942e+00 4.050585e-17
2.127480e+00 3.685069e-17
2.148217e+00 3.352537e-17
2.169157e+00 3.050011e-17
